,0
car,2780
like,1779
just,1243
think,1196
good,860
really,843
don,829
old,764
nice,704
looks,687
engine,683
price,642
know,603
maybe,598
worth,586
probably,555
pretty,542
time,501
look,500
ve,484
thing,465
new,465
000,459
buy,459
chevrolet,444
bad,429
money,426
got,423
actually,417
way,416
right,415
better,414
little,413
sure,404
lot,397
work,388
years,386
year,384
big,379
want,377
make,352
miles,352
doesn,348
people,348
used,347
did,339
http,336
parts,336
say,335
looking,334
drive,332
going,328
body,321
500,318
bit,309
kind,307
does,300
interior,295
ll,290
high,290
didn,288
guess,286
real,285
ford,285
yeah,277
needs,267
door,260
isn,258
cheap,257
guy,255
remember,254
great,252
rust,248
decent,245
need,243
problem,242
wouldn,239
seen,238
value,237
craigsltoyota,234
low,231
long,231
hard,229
paint,223
thought,223
wonder,222
fun,222
ebay,218
model,218
porsche,216
rear,213
end,212
oh,209
condition,206
mercedes,206
seat,204
color,203
dodge,202
course,202
kinda,201
project,200
original,200
best,197
driver,197
html,197
sell,194
org,193
clean,191
honda,189
10,189
seller,189
cool,189
things,188
market,187
day,185
hp,181
speed,180
sedan,179
early,179
love,177
run,176
wheels,175
bought,174
power,171
stuff,169
getting,167
mean,167
motor,165
come,164
coupe,164
especially,162
saw,161
away,160
turbo,158
com,155
deal,155
thinking,154
let,154
ad,153
rare,152
use,152
pay,150
shape,150
tell,150
unless,149
point,148
wasn,148
cost,147
looked,147
went,147
wanted,146
far,146
driving,146
came,145
wrong,144
60,144
style,143
toyota,143
70,141
350,141
toyotad,140
expensive,139
pontiac,138
owner,138
chrysler,138
ago,138
bmw,137
running,135
buick,135
makes,134
idea,134
quite,133
sold,133
engines,133
truck,133
gas,132
sounds,132
couple,132
ok,131
fix,131
asking,130
convertible,130
later,130
reason,129
aren,129
usually,128
ones,128
believe,127
mileage,125
automatic,125
interesting,122
beater,121
job,121
late,121
easy,118
older,118
having,118
tranny,118
grand,117
liked,117
friend,117
small,115
free,115
12,115
wheel,115
close,115
transmission,114
imagine,113
left,113
models,111
iirc,110
fuel,110
steering,109
funny,109
hood,109
worse,109
heck,109
wagon,109
20,109
bid,108
half,108
head,108
15,108
block,107
fdodgee,107
okay,106
tires,106
won,106
says,106
start,106
different,106
black,106
wants,105
shifty,105
69,105
50,105
sale,105
76,104
red,104
type,102
chicago,102
gm,102
fast,101
classic,101
buying,101
road,101
light,101
blue,101
diesel,100
olds,100
today,100
suspension,100
try,100
yes,100
trying,99
79,99
vehicle,99
68,99
modern,98
likely,97
cylinder,97
version,96
fairly,96
fintail,96
special,96
world,96
caddy,95
days,95
bet,95
case,94
mind,94
white,94
80,94
non,93
repair,93
similar,93
place,93
man,93
basically,92
prices,92
100,92
85,91
hardtop,91
correct,91
common,91
selling,91
care,90
exactly,90
v8,90
agree,90
mb,90
series,89
brakes,89
example,89
era,89
80s,88
range,88
air,88
heard,88
definitely,87
built,87
200,86
fact,86
ltoyota,86
fair,85
local,85
junk,85
needed,85
gets,85
took,85
volkswagen,84
ss,84
certainly,84
mid,84
true,84
line,84
67,84
damage,83
www,83
drove,83
imo,83
oil,83
times,82
runs,82
reliable,82
andre,82
home,82
sound,82
check,82
944,81
started,81
doubt,81
build,81
read,80
figure,80
gone,80
means,79
mile,79
mark,79
jaguar,79
near,79
lots,79
person,78
maintenance,78
title,78
extra,78
set,78
stock,77
hit,77
able,77
perfect,77
75,77
nissan,77
pics,77
400,77
plus,76
second,76
called,76
hell,75
goes,75
72,75
restoration,75
couldn,75
save,74
5k,74
based,74
compared,74
volvo,73
73,73
size,73
knows,73
lincoln,73
odd,72
mgb,72
pictures,72
trim,71
70s,71
88,70
audi,70
street,70
straight,69
wife,69
dad,69
total,69
plenty,69
10k,69
ran,69
collectible,68
stick,68
hot,68
bucks,68
live,67
restore,67
change,67
60s,67
windows,67
hope,67
post,67
trunk,67
dealer,67
doors,67
inside,67
earlier,67
given,66
performance,66
garage,66
bring,66
sense,66
worst,66
doing,66
overpriced,66
auto,66
rover,66
rebuilt,66
30,66
alfa,66
window,66
seeing,65
area,65
styling,65
surprise,65
65,65
comes,65
hold,64
replaced,64
talking,64
easily,64
rebuild,64
hey,64
recall,64
turn,64
kid,64
restored,64
lemans,64
weren,64
huge,63
shop,63
beat,63
