,Date,user_id,comments
0,"November 13, 2004 6:48PM",Mr_Shiftright,"okay, whaddya think about this for $1,000? (i'll vote last--i get to be the tie breaker if necessary)

http://www.craigslist.org/sby/car/48503724.html"
1,"November 13, 2004 7:53PM",fintail,"save the useful trim pieces and obscure bits

junk the shell/chassis if no rodder etc wants it, it's a sad looking sedan, no upside, nobody will ever want to restore it."
2,"November 13, 2004 9:36PM",andre1969,"because i kinda like those things. the body actually doesn't look half bad. heck, i've seen rustier cars where the seller would try to pass it off as ""rust free""! ;-)

now i wouldn't put any serious money into it, but i'd say slap a starter on it, and a fresh coat of paint, and have fun with it for awhile, and then move on to something nicer. of course, i'm also not about to offer up $1000 either, so i'm not putting my money where my mouth is!"
3,"November 14, 2004 8:26AM",Mr_Shiftright,"c'mon andre, you're not following the rules (bad dog!). you have to pay the asking price, so what's your vote if this car costs you $1,000?

vote so far

junk/scrap/part out 1
undecided 1"
4,"November 14, 2004 10:30AM",andre1969,"that i think it should be saved, but i'm not gonna be the one to do it! i'm not enough of a '54 plymouth fan to want it, but i just think it's not that far gone that it can't be salvaged by someone who likes them. if i really had a fetish for the '54 plymouth, i'd probably go for it, but it just doesn't excite me.

i guess what i'm getting at is that it's the car more than the condition. if you showed me something that really got me excited, in that condition, at that price, i'd jump on it in a heartbeat."
5,"November 14, 2004 1:33PM",Mr_Shiftright,"well, that's why you vote. you are voting your preference.

so i'm going to count you as a junk/scrap/part out since you won't buy it, okay?

soooo, we have

2 scrap/part out
0 save

so far..."
6,"November 14, 2004 1:55PM",badtoy,"that is the same exact year and model my first wife bought for $40 in ypsilanti, michigan when we first got married. needless to say, we were poor as churchmice, but the big green monster started on those bitter cold mornings when brand new, shiny cars wouldn't -- and was sold to one of our friends who relocated with it to florida, where it is still probably running. well, maybe not -- that was back in 1968.

anyway, for all its basic goodness, it was dowdy, slow, handled like a boat and had almost nothing to recommend it other than the fact that it was cheap and it started like clockwork. i'd pass....

(by the way, you only buy parts for something you intend to restore, so i see no value whatsoever in this car.)"
7,"November 14, 2004 4:23PM",Mr_Shiftright,"well maybe there was a convertible version of this car?? that might be worth restoring if it wasn't too far gone.

okay, so it's

scrap 3 votes
save 0 votes

i'm going to vote scrap it, so that 4-0 and the car loses (4 out of possible 7). reasons are car is of very little collectible value, not very interesting, and pretty far gone for what it is. also overpriced imho by about $750.

okay next car coming up!"
8,"November 14, 2004 4:37PM",Mr_Shiftright,"well a '55 chevy might sound like a no-brainer for salvation, but then we have this one.

http://www.craigslist.org/sby/car/48913766.html

remember you gotta pay the price if you vote save.

whaddya think?"
9,"November 14, 2004 4:49PM",andre1969,"we're gonna run into a problem here, because if voting ""save"" means we're willing to pay the asking price...well who ever pays the asking price?!

at this rate, i think just about every project posted is going to get the junk vote, so this thing is flawed. unless you find some little old lady with a hemi barracuda in her barn that she wants to ditch because she doesn't like the fuel economy, none of these cars are going to be worth their asking price. for instance, just as that '54 savoy is worth saving, so is this '55 chevy. but not for $3000! heck, i'd pay a grand for the savoy before i'd pay 3 grand for this one!

so, just going on asking price, junk it. and put the rims back on the iroc that they came off of."
